"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"01.01.2016 00:00 - 01.01.2016 00:30","30591","35421"
"01.01.2016 00:30 - 01.01.2016 01:00","30917","34557"
"01.01.2016 01:00 - 01.01.2016 01:30","30406","34393"
"01.01.2016 01:30 - 01.01.2016 02:00","30247","35357"
"01.01.2016 02:00 - 01.01.2016 02:30","30212","34782"
"01.01.2016 02:30 - 01.01.2016 03:00","30068","33372"
"01.01.2016 03:00 - 01.01.2016 03:30","30045","32229"
"01.01.2016 03:30 - 01.01.2016 04:00","29335","31621"
"01.01.2016 04:00 - 01.01.2016 04:30","28134","30084"
"01.01.2016 04:30 - 01.01.2016 05:00","27170","28580"
"01.01.2016 05:00 - 01.01.2016 05:30","26329","27999"
"01.01.2016 05:30 - 01.01.2016 06:00","25941","27553"
"01.01.2016 06:00 - 01.01.2016 06:30","26114","27535"
"01.01.2016 06:30 - 01.01.2016 07:00","26504","27283"
"01.01.2016 07:00 - 01.01.2016 07:30","26801","28114"
"01.01.2016 07:30 - 01.01.2016 08:00","27114","28800"
"01.01.2016 08:00 - 01.01.2016 08:30","27417","28990"
"01.01.2016 08:30 - 01.01.2016 09:00","27949","29358"
"01.01.2016 09:00 - 01.01.2016 09:30","29063","30942"
"01.01.2016 09:30 - 01.01.2016 10:00","30331","31962"
"01.01.2016 10:00 - 01.01.2016 10:30","31805","34777"
"01.01.2016 10:30 - 01.01.2016 11:00","33424","36071"
"01.01.2016 11:00 - 01.01.2016 11:30","34963","37564"
"01.01.2016 11:30 - 01.01.2016 12:00","36288","38578"
"01.01.2016 12:00 - 01.01.2016 12:30","37424","39579"
"01.01.2016 12:30 - 01.01.2016 13:00","38495","40395"
"01.01.2016 13:00 - 01.01.2016 13:30","39304","41241"
"01.01.2016 13:30 - 01.01.2016 14:00","39439","41475"
"01.01.2016 14:00 - 01.01.2016 14:30","39459","41428"
"01.01.2016 14:30 - 01.01.2016 15:00","39829","41441"
"01.01.2016 15:00 - 01.01.2016 15:30","40033","41591"
"01.01.2016 15:30 - 01.01.2016 16:00","40351","41708"
"01.01.2016 16:00 - 01.01.2016 16:30","40837","42084"
"01.01.2016 16:30 - 01.01.2016 17:00","41945","42703"
"01.01.2016 17:00 - 01.01.2016 17:30","43614","44383"
"01.01.2016 17:30 - 01.01.2016 18:00","44888","45801"
"01.01.2016 18:00 - 01.01.2016 18:30","45270","46247"
"01.01.2016 18:30 - 01.01.2016 19:00","44832","45849"
"01.01.2016 19:00 - 01.01.2016 19:30","43857","44950"
"01.01.2016 19:30 - 01.01.2016 20:00","42685","43993"
"01.01.2016 20:00 - 01.01.2016 20:30","41309","43034"
"01.01.2016 20:30 - 01.01.2016 21:00","40358","41986"
"01.01.2016 21:00 - 01.01.2016 21:30","39759","41083"
"01.01.2016 21:30 - 01.01.2016 22:00","38503","40072"
"01.01.2016 22:00 - 01.01.2016 22:30","36930","39039"
"01.01.2016 22:30 - 01.01.2016 23:00","35590","38091"
"01.01.2016 23:00 - 01.01.2016 23:30","34308","36505"
"01.01.2016 23:30 - 02.01.2016 00:00","32744","35343"
"02.01.2016 00:00 - 02.01.2016 00:30","31175","33109"
"02.01.2016 00:30 - 02.01.2016 01:00","30177","31764"
"02.01.2016 01:00 - 02.01.2016 01:30","30417","31653"
"02.01.2016 01:30 - 02.01.2016 02:00","30070","31425"
"02.01.2016 02:00 - 02.01.2016 02:30","29464","30148"
"02.01.2016 02:30 - 02.01.2016 03:00","28765","28936"
"02.01.2016 03:00 - 02.01.2016 03:30","28363","27859"
"02.01.2016 03:30 - 02.01.2016 04:00","27922","27165"
"02.01.2016 04:00 - 02.01.2016 04:30","27275","26146"
"02.01.2016 04:30 - 02.01.2016 05:00","26807","25456"
"02.01.2016 05:00 - 02.01.2016 05:30","26537","25110"
"02.01.2016 05:30 - 02.01.2016 06:00","26652","25075"
"02.01.2016 06:00 - 02.01.2016 06:30","27064","25249"
"02.01.2016 06:30 - 02.01.2016 07:00","28222","26036"
"02.01.2016 07:00 - 02.01.2016 07:30","29674","28220"
"02.01.2016 07:30 - 02.01.2016 08:00","31233","29733"
"02.01.2016 08:00 - 02.01.2016 08:30","32917","30890"
"02.01.2016 08:30 - 02.01.2016 09:00","34213","31817"
"02.01.2016 09:00 - 02.01.2016 09:30","35672","33357"
"02.01.2016 09:30 - 02.01.2016 10:00","37411","35032"
"02.01.2016 10:00 - 02.01.2016 10:30","39014","37720"
"02.01.2016 10:30 - 02.01.2016 11:00","40067","39112"
"02.01.2016 11:00 - 02.01.2016 11:30","40636","40287"
"02.01.2016 11:30 - 02.01.2016 12:00","40973","41131"
"02.01.2016 12:00 - 02.01.2016 12:30","41413","41726"
"02.01.2016 12:30 - 02.01.2016 13:00","41575","42183"
"02.01.2016 13:00 - 02.01.2016 13:30","41651","42667"
"02.01.2016 13:30 - 02.01.2016 14:00","42183","42874"
"02.01.2016 14:00 - 02.01.2016 14:30","42643","42871"
"02.01.2016 14:30 - 02.01.2016 15:00","42811","42897"
"02.01.2016 15:00 - 02.01.2016 15:30","42713","42901"
"02.01.2016 15:30 - 02.01.2016 16:00","42656","42630"
"02.01.2016 16:00 - 02.01.2016 16:30","42801","42848"
"02.01.2016 16:30 - 02.01.2016 17:00","43872","43503"
"02.01.2016 17:00 - 02.01.2016 17:30","46617","43501"
"02.01.2016 17:30 - 02.01.2016 18:00","49077","47467"
"02.01.2016 18:00 - 02.01.2016 18:30","49440","48779"
"02.01.2016 18:30 - 02.01.2016 19:00","48675","48767"
"02.01.2016 19:00 - 02.01.2016 19:30","47924","48194"
"02.01.2016 19:30 - 02.01.2016 20:00","46829","47158"
"02.01.2016 20:00 - 02.01.2016 20:30","45292","45970"
"02.01.2016 20:30 - 02.01.2016 21:00","43796","44843"
"02.01.2016 21:00 - 02.01.2016 21:30","42255","43766"
"02.01.2016 21:30 - 02.01.2016 22:00","40873","42207"
"02.01.2016 22:00 - 02.01.2016 22:30","39364","40940"
"02.01.2016 22:30 - 02.01.2016 23:00","37718","39318"
"02.01.2016 23:00 - 02.01.2016 23:30","36307","37990"
"02.01.2016 23:30 - 03.01.2016 00:00","34779","36921"
"03.01.2016 00:00 - 03.01.2016 00:30","33131","34675"
"03.01.2016 00:30 - 03.01.2016 01:00","32695","33507"
"03.01.2016 01:00 - 03.01.2016 01:30","32395","33453"
"03.01.2016 01:30 - 03.01.2016 02:00","32052","32729"
"03.01.2016 02:00 - 03.01.2016 02:30","31045","31635"
"03.01.2016 02:30 - 03.01.2016 03:00","29924","30284"
"03.01.2016 03:00 - 03.01.2016 03:30","29284","28859"
"03.01.2016 03:30 - 03.01.2016 04:00","28739","28403"
"03.01.2016 04:00 - 03.01.2016 04:30","27863","27616"
"03.01.2016 04:30 - 03.01.2016 05:00","27174","26761"
"03.01.2016 05:00 - 03.01.2016 05:30","26675","26381"
"03.01.2016 05:30 - 03.01.2016 06:00","26279","26348"
"03.01.2016 06:00 - 03.01.2016 06:30","26514","26419"
"03.01.2016 06:30 - 03.01.2016 07:00","27536","26690"
"03.01.2016 07:00 - 03.01.2016 07:30","28710","27378"
"03.01.2016 07:30 - 03.01.2016 08:00","29954","28180"
"03.01.2016 08:00 - 03.01.2016 08:30","31198","29804"
"03.01.2016 08:30 - 03.01.2016 09:00","32681","31076"
"03.01.2016 09:00 - 03.01.2016 09:30","35026","32278"
"03.01.2016 09:30 - 03.01.2016 10:00","37170","33709"
"03.01.2016 10:00 - 03.01.2016 10:30","38780","36458"
"03.01.2016 10:30 - 03.01.2016 11:00","40320","38164"
"03.01.2016 11:00 - 03.01.2016 11:30","41568","40150"
"03.01.2016 11:30 - 03.01.2016 12:00","42257","41601"
"03.01.2016 12:00 - 03.01.2016 12:30","42773","42488"
"03.01.2016 12:30 - 03.01.2016 13:00","43173","43533"
"03.01.2016 13:00 - 03.01.2016 13:30","43190","44429"
"03.01.2016 13:30 - 03.01.2016 14:00","43074","44923"
"03.01.2016 14:00 - 03.01.2016 14:30","42873","45016"
"03.01.2016 14:30 - 03.01.2016 15:00","42758","44919"
"03.01.2016 15:00 - 03.01.2016 15:30","42702","44839"
"03.01.2016 15:30 - 03.01.2016 16:00","42864","44659"
"03.01.2016 16:00 - 03.01.2016 16:30","43292","44800"
"03.01.2016 16:30 - 03.01.2016 17:00","44489","45614"
"03.01.2016 17:00 - 03.01.2016 17:30","46823","47281"
"03.01.2016 17:30 - 03.01.2016 18:00","48488","49431"
"03.01.2016 18:00 - 03.01.2016 18:30","48620","50135"
"03.01.2016 18:30 - 03.01.2016 19:00","48019","49736"
"03.01.2016 19:00 - 03.01.2016 19:30","46873","49205"
"03.01.2016 19:30 - 03.01.2016 20:00","45619","48371"
"03.01.2016 20:00 - 03.01.2016 20:30","44390","47309"
"03.01.2016 20:30 - 03.01.2016 21:00","43060","46011"
"03.01.2016 21:00 - 03.01.2016 21:30","41529","45045"
"03.01.2016 21:30 - 03.01.2016 22:00","40205","43606"
"03.01.2016 22:00 - 03.01.2016 22:30","38794","42350"
"03.01.2016 22:30 - 03.01.2016 23:00","37330","40558"
"03.01.2016 23:00 - 03.01.2016 23:30","35979","39022"
"03.01.2016 23:30 - 04.01.2016 00:00","34209","37376"
"04.01.2016 00:00 - 04.01.2016 00:30","32626","34747"
"04.01.2016 00:30 - 04.01.2016 01:00","31915","33353"
"04.01.2016 01:00 - 04.01.2016 01:30","29882","32733"
"04.01.2016 01:30 - 04.01.2016 02:00","30202","32692"
"04.01.2016 02:00 - 04.01.2016 02:30","29800","31641"
"04.01.2016 02:30 - 04.01.2016 03:00","29281","30344"
"04.01.2016 03:00 - 04.01.2016 03:30","29110","29246"
"04.01.2016 03:30 - 04.01.2016 04:00","29020","28947"
"04.01.2016 04:00 - 04.01.2016 04:30","28547","28475"
"04.01.2016 04:30 - 04.01.2016 05:00","28088","27979"
"04.01.2016 05:00 - 04.01.2016 05:30","27909","27655"
"04.01.2016 05:30 - 04.01.2016 06:00","28221","27805"
"04.01.2016 06:00 - 04.01.2016 06:30","29143","28610"
"04.01.2016 06:30 - 04.01.2016 07:00","31355","30629"
"04.01.2016 07:00 - 04.01.2016 07:30","34554","35158"
"04.01.2016 07:30 - 04.01.2016 08:00","38141","38231"
"04.01.2016 08:00 - 04.01.2016 08:30","41466","42012"
"04.01.2016 08:30 - 04.01.2016 09:00","43416","44077"
"04.01.2016 09:00 - 04.01.2016 09:30","44469","45755"
"04.01.2016 09:30 - 04.01.2016 10:00","45457","46578"
"04.01.2016 10:00 - 04.01.2016 10:30","46366","47368"
"04.01.2016 10:30 - 04.01.2016 11:00","46670","47892"
"04.01.2016 11:00 - 04.01.2016 11:30","46935","48394"
"04.01.2016 11:30 - 04.01.2016 12:00","47160","48517"
"04.01.2016 12:00 - 04.01.2016 12:30","47343","48729"
"04.01.2016 12:30 - 04.01.2016 13:00","47621","49063"
"04.01.2016 13:00 - 04.01.2016 13:30","47724","49586"
"04.01.2016 13:30 - 04.01.2016 14:00","47568","49549"
"04.01.2016 14:00 - 04.01.2016 14:30","47239","49523"
"04.01.2016 14:30 - 04.01.2016 15:00","47242","49381"
"04.01.2016 15:00 - 04.01.2016 15:30","47593","49553"
"04.01.2016 15:30 - 04.01.2016 16:00","47853","49514"
"04.01.2016 16:00 - 04.01.2016 16:30","48510","49061"
"04.01.2016 16:30 - 04.01.2016 17:00","50141","49995"
"04.01.2016 17:00 - 04.01.2016 17:30","52192","51836"
"04.01.2016 17:30 - 04.01.2016 18:00","54220","51779"
"04.01.2016 18:00 - 04.01.2016 18:30","54306","53646"
"04.01.2016 18:30 - 04.01.2016 19:00","53274","54704"
"04.01.2016 19:00 - 04.01.2016 19:30","53063","54668"
"04.01.2016 19:30 - 04.01.2016 20:00","52325","53976"
"04.01.2016 20:00 - 04.01.2016 20:30","50808","52784"
"04.01.2016 20:30 - 04.01.2016 21:00","49164","51150"
"04.01.2016 21:00 - 04.01.2016 21:30","47402","49450"
"04.01.2016 21:30 - 04.01.2016 22:00","45425","47588"
"04.01.2016 22:00 - 04.01.2016 22:30","43131","45806"
"04.01.2016 22:30 - 04.01.2016 23:00","40800","43550"
"04.01.2016 23:00 - 04.01.2016 23:30","38637","41617"
"04.01.2016 23:30 - 05.01.2016 00:00","36175","39648"
"05.01.2016 00:00 - 05.01.2016 00:30","34057","37232"
"05.01.2016 00:30 - 05.01.2016 01:00","33032","35752"
"05.01.2016 01:00 - 05.01.2016 01:30","32101","34927"
"05.01.2016 01:30 - 05.01.2016 02:00","32134","34876"
"05.01.2016 02:00 - 05.01.2016 02:30","31830","33709"
"05.01.2016 02:30 - 05.01.2016 03:00","31318","32423"
"05.01.2016 03:00 - 05.01.2016 03:30","31092","31524"
"05.01.2016 03:30 - 05.01.2016 04:00","30853","31342"
"05.01.2016 04:00 - 05.01.2016 04:30","30355","30629"
"05.01.2016 04:30 - 05.01.2016 05:00","29893","30014"
"05.01.2016 05:00 - 05.01.2016 05:30","29661","29756"
"05.01.2016 05:30 - 05.01.2016 06:00","29903","29901"
"05.01.2016 06:00 - 05.01.2016 06:30","30701","30717"
"05.01.2016 06:30 - 05.01.2016 07:00","32917","32533"
"05.01.2016 07:00 - 05.01.2016 07:30","36404","37004"
"05.01.2016 07:30 - 05.01.2016 08:00","40386","40712"
"05.01.2016 08:00 - 05.01.2016 08:30","43887","44610"
"05.01.2016 08:30 - 05.01.2016 09:00","45788","46664"
"05.01.2016 09:00 - 05.01.2016 09:30","46304","47841"
"05.01.2016 09:30 - 05.01.2016 10:00","46701","48048"
"05.01.2016 10:00 - 05.01.2016 10:30","47315","48938"
"05.01.2016 10:30 - 05.01.2016 11:00","47495","49239"
"05.01.2016 11:00 - 05.01.2016 11:30","47610","49291"
"05.01.2016 11:30 - 05.01.2016 12:00","47715","49522"
"05.01.2016 12:00 - 05.01.2016 12:30","47828","49672"
"05.01.2016 12:30 - 05.01.2016 13:00","48020","49901"
"05.01.2016 13:00 - 05.01.2016 13:30","48028","50108"
"05.01.2016 13:30 - 05.01.2016 14:00","47913","50536"
"05.01.2016 14:00 - 05.01.2016 14:30","47715","49878"
"05.01.2016 14:30 - 05.01.2016 15:00","47664","49747"
"05.01.2016 15:00 - 05.01.2016 15:30","47695","49931"
"05.01.2016 15:30 - 05.01.2016 16:00","47675","49756"
"05.01.2016 16:00 - 05.01.2016 16:30","48013","49816"
"05.01.2016 16:30 - 05.01.2016 17:00","49410","50948"
"05.01.2016 17:00 - 05.01.2016 17:30","51901","52872"
"05.01.2016 17:30 - 05.01.2016 18:00","54258","54654"
"05.01.2016 18:00 - 05.01.2016 18:30","54338","55095"
"05.01.2016 18:30 - 05.01.2016 19:00","53417","55179"
"05.01.2016 19:00 - 05.01.2016 19:30","53288","55117"
"05.01.2016 19:30 - 05.01.2016 20:00","52605","54402"
"05.01.2016 20:00 - 05.01.2016 20:30","51109","53485"
"05.01.2016 20:30 - 05.01.2016 21:00","49588","51041"
"05.01.2016 21:00 - 05.01.2016 21:30","47709","49689"
"05.01.2016 21:30 - 05.01.2016 22:00","45672","48237"
"05.01.2016 22:00 - 05.01.2016 22:30","43650","46233"
"05.01.2016 22:30 - 05.01.2016 23:00","41223","43753"
"05.01.2016 23:00 - 05.01.2016 23:30","39070","41622"
"05.01.2016 23:30 - 06.01.2016 00:00","36810","39564"
"06.01.2016 00:00 - 06.01.2016 00:30","34683","37248"
"06.01.2016 00:30 - 06.01.2016 01:00","33541","35967"
"06.01.2016 01:00 - 06.01.2016 01:30","32784","34790"
"06.01.2016 01:30 - 06.01.2016 02:00","33021","34389"
"06.01.2016 02:00 - 06.01.2016 02:30","32556","33436"
"06.01.2016 02:30 - 06.01.2016 03:00","31890","32406"
"06.01.2016 03:00 - 06.01.2016 03:30","31593","31628"
"06.01.2016 03:30 - 06.01.2016 04:00","31261","31338"
"06.01.2016 04:00 - 06.01.2016 04:30","30422","30781"
"06.01.2016 04:30 - 06.01.2016 05:00","29633","30182"
"06.01.2016 05:00 - 06.01.2016 05:30","29121","29895"
"06.01.2016 05:30 - 06.01.2016 06:00","29400","30041"
"06.01.2016 06:00 - 06.01.2016 06:30","30314","30738"
"06.01.2016 06:30 - 06.01.2016 07:00","32439","32428"
"06.01.2016 07:00 - 06.01.2016 07:30","35709","36771"
"06.01.2016 07:30 - 06.01.2016 08:00","39621","40644"
"06.01.2016 08:00 - 06.01.2016 08:30","43291","44596"
"06.01.2016 08:30 - 06.01.2016 09:00","45288","46809"
"06.01.2016 09:00 - 06.01.2016 09:30","45912","47938"
"06.01.2016 09:30 - 06.01.2016 10:00","46221","48082"
"06.01.2016 10:00 - 06.01.2016 10:30","46708","48949"
"06.01.2016 10:30 - 06.01.2016 11:00","46876","49229"
"06.01.2016 11:00 - 06.01.2016 11:30","47534","49240"
"06.01.2016 11:30 - 06.01.2016 12:00","47971","49331"
"06.01.2016 12:00 - 06.01.2016 12:30","47801","49557"
"06.01.2016 12:30 - 06.01.2016 13:00","47944","49548"
"06.01.2016 13:00 - 06.01.2016 13:30","47946","49663"
"06.01.2016 13:30 - 06.01.2016 14:00","47712","49556"
"06.01.2016 14:00 - 06.01.2016 14:30","47523","49506"
"06.01.2016 14:30 - 06.01.2016 15:00","47521","49459"
"06.01.2016 15:00 - 06.01.2016 15:30","47591","49579"
"06.01.2016 15:30 - 06.01.2016 16:00","47671","49563"
"06.01.2016 16:00 - 06.01.2016 16:30","47985","49500"
"06.01.2016 16:30 - 06.01.2016 17:00","49302","50770"
"06.01.2016 17:00 - 06.01.2016 17:30","51750","53316"
"06.01.2016 17:30 - 06.01.2016 18:00","53589","54863"
"06.01.2016 18:00 - 06.01.2016 18:30","53858","55130"
"06.01.2016 18:30 - 06.01.2016 19:00","53622","54649"
"06.01.2016 19:00 - 06.01.2016 19:30","53228","54081"
"06.01.2016 19:30 - 06.01.2016 20:00","52405","53850"
"06.01.2016 20:00 - 06.01.2016 20:30","50926","52918"
"06.01.2016 20:30 - 06.01.2016 21:00","49293","51700"
"06.01.2016 21:00 - 06.01.2016 21:30","47375","50069"
"06.01.2016 21:30 - 06.01.2016 22:00","45197","48214"
"06.01.2016 22:00 - 06.01.2016 22:30","42844","46200"
"06.01.2016 22:30 - 06.01.2016 23:00","40571","43917"
"06.01.2016 23:00 - 06.01.2016 23:30","38568","41795"
"06.01.2016 23:30 - 07.01.2016 00:00","36463","39677"
"07.01.2016 00:00 - 07.01.2016 00:30","34310","36890"
"07.01.2016 00:30 - 07.01.2016 01:00","33266","35159"
"07.01.2016 01:00 - 07.01.2016 01:30","33485","33844"
"07.01.2016 01:30 - 07.01.2016 02:00","33524","33265"
"07.01.2016 02:00 - 07.01.2016 02:30","33003","32350"
"07.01.2016 02:30 - 07.01.2016 03:00","32287","31558"
"07.01.2016 03:00 - 07.01.2016 03:30","31811","30892"
"07.01.2016 03:30 - 07.01.2016 04:00","31319","30689"
"07.01.2016 04:00 - 07.01.2016 04:30","30446","30499"
"07.01.2016 04:30 - 07.01.2016 05:00","29761","29939"
"07.01.2016 05:00 - 07.01.2016 05:30","29544","29819"
"07.01.2016 05:30 - 07.01.2016 06:00","29915","29964"
