,Index,Mean,Stddev
0,1.0,-2.443488655025293,6.177728917325951
1,2.0,-2.9296333197964812,6.177729087773893
2,3.0,-3.2402051771509393,6.177729437881408
3,4.0,-3.130535745388442,6.177729643741559
4,5.0,-3.1507985249562847,6.177729243632525
5,6.0,-3.124152222902722,6.177729257252053
6,7.0,-3.043913670773503,6.1777297371682245
7,8.0,-2.8277417559954174,6.17772986518047
8,9.0,-2.8448424167642457,6.177730340449062
9,10.0,-3.237506582198437,6.177729896701849
10,11.0,-4.091928409094995,6.1777298630089605
11,12.0,-4.731076381169811,6.177729582283038
12,13.0,-5.419469737430284,6.177729904411201
13,14.0,-6.042471832701955,6.177729320109008
14,15.0,-6.555809143571942,6.177730123096458
15,16.0,-6.533094097589322,6.177729699931325
16,17.0,-6.466390083757229,6.177729016134243
17,18.0,-6.247465470116272,6.177729127388188
18,19.0,-6.476859201841703,6.177729123255944
19,20.0,-5.9420464063289264,6.177729480734837
20,21.0,-5.632378906745837,6.177729082882441
21,22.0,-5.417547120962686,6.177729123376239
22,23.0,-4.92481629145455,6.177730142337137
23,24.0,-4.832109643670256,6.177730458227091
24,25.0,-4.849669579858534,6.177731040886203
25,26.0,-4.722405076797529,6.177731097338923
26,27.0,-4.83146589880139,6.177730944249162
27,28.0,-4.98743055878476,6.17773125880465
28,29.0,-1.1528222821701348,6.185018155873018
29,30.0,-1.3835843747022694,6.185018161262628
30,31.0,-1.7261829947900753,6.185018239756785
31,32.0,-2.105244159822246,6.185018325689656
32,33.0,-3.3021202463190376,6.185018164722287
33,34.0,-3.941125907029478,6.185018207786351
34,35.0,-4.348689593985815,6.1850182270544005
35,36.0,-4.514411754129402,6.185018221604009
36,37.0,-4.649594988409681,6.185018282024938
37,38.0,-4.8096732503860595,6.185018405699051
38,39.0,-4.891218233207061,6.18501855035916
39,40.0,-4.692110028871021,6.185018456793487
40,41.0,-4.341396097034865,6.18501841910609
41,42.0,-3.7905745837891245,6.185018455587987
42,43.0,-3.0703944081590855,6.185018379234438
43,44.0,-1.6858397212842815,6.185018372142682
44,45.0,0.0839256086293457,6.1850182038251535
45,46.0,0.5750246785404649,6.185018239421095
46,47.0,0.7090955486946054,6.185018278992908
47,48.0,0.8590235960265309,6.1850182247520324
48,49.0,0.49513580994077383,6.185018382784645
49,50.0,0.01459984082175206,6.185018577633669
50,51.0,-0.2618415817500938,6.185018966205414
51,52.0,-0.1286938891180529,6.18501918522762
52,53.0,-0.06826101651199333,6.185018716287663
53,54.0,-0.09978862750195718,6.185018719009646
54,55.0,0.07105862027942476,6.185019250703297
55,56.0,0.24014357853575663,6.185019382724486
56,57.0,0.35086900472343197,6.1850198911122325
57,58.0,-0.052969073754250806,6.1850193963220885
58,59.0,-1.0080430745638669,6.185019350835271
59,60.0,-1.5315823509865225,6.185019035143774
60,61.0,-1.742193098551397,6.185019405406264
61,62.0,-2.3866734546926596,6.185018752108491
62,63.0,-2.9426194612148318,6.185019663116077
63,64.0,-2.7891652847974355,6.185019199629412
64,65.0,-2.4575917057479653,6.185018337130607
65,66.0,-2.1473192660200384,6.185018398632801
66,67.0,-2.4270173455715693,6.185018396913522
67,68.0,-1.8728567239718235,6.185018680250493
68,69.0,-1.6095805287365508,6.185018380656844
69,70.0,-1.260922655996875,6.185018401839156
70,71.0,-1.0142787830104576,6.185019251752334
71,72.0,-0.8101808308783359,6.185019533475173
72,73.0,-0.865132071414437,6.185020062353992
73,74.0,-0.854258872701251,6.185020107336628
74,75.0,-0.9414936077485846,6.18501995693097
75,76.0,-1.1021539199058772,6.185020238637873
76,77.0,-3.6163424689927424,6.192293018542178
77,78.0,-3.7075828223944427,6.1922930250215416
78,79.0,-4.098790138134404,6.192292919119066
79,80.0,-4.445590433601353,6.1922929525210995
80,81.0,-5.333509998359013,6.192292913280644
81,82.0,-5.844124354721626,6.192292895688888
82,83.0,-6.236514128634473,6.19229307917015
83,84.0,-6.3031058539954445,6.192293058496483
84,85.0,-6.5115934361018075,6.192293158895188
85,86.0,-6.639323871991208,6.192293340256576
86,87.0,-6.9530427678556865,6.1922935328718935
87,88.0,-6.786369346128314,6.192293403341356
88,89.0,-6.391307588205181,6.192293352625834
89,90.0,-5.9246165097420285,6.192293403204625
90,91.0,-4.833871116720673,6.192293293651166
91,92.0,-3.4263164298458535,6.192293278303423
92,93.0,-2.246072839062644,6.1922929618706055
93,94.0,-1.863408551760213,6.1922929195388825
94,95.0,-1.4659898555191018,6.192292934524209
95,96.0,-1.26593137340456,6.192293035947778
96,97.0,-1.6069930725337855,6.192292999281015
97,98.0,-2.118920346000639,6.192293120650614
98,99.0,-2.3497095946594366,6.192293406509467
99,100.0,-2.1662575542013323,6.192293574651944
100,101.0,-2.136172507682247,6.192293220987769
101,102.0,-2.173569683889646,6.192293221653788
102,103.0,-1.909287653499577,6.192293623914325
103,104.0,-1.7158983474171756,6.192293723914177
104,105.0,-1.6729120516643001,6.192294139958318
105,106.0,-2.036184912750693,6.192293725913869
106,107.0,-3.007780652690754,6.192293680922654
107,108.0,-3.5490590595482074,6.192293414275645
108,109.0,-3.9684524158087884,6.192293667026457
109,110.0,-4.502411032819638,6.1922931337532345
110,111.0,-5.315487474124442,6.192293805400298
111,112.0,-5.1077724281418275,6.192293403512372
112,113.0,-4.6712423273532435,6.192292878912553
113,114.0,-4.334491626755735,6.1922930158706455
