Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,System_Buy_Price,System_Sell_Price,Price_Derivation_Code,Total_Demand,Total_Generation,Total_Period_Applicable_Balancing_Services_Volume,Information_Imbalance_Price_1,Information_Imbalance_Price_2,Notional_Reserve_Limit,Total_NIV_Tagged_Volume,Arbitrage_Flag,Continuous_Acceptance_Duration_Limit,De_Minimis_Acceptance_Threshold,Net_Energy_Buy-Price_Cost_Adjustment,Net_Energy_Buy-Price_Volume_Adjustment,Net_System_Buy-Price_Volume_Adjustment,Buy-Price_Price_Adjust,Net_Energy_Sell-Price_Cost_Adjustment,Net_Energy_Sell-Price_Volume_Adjustment,Net_System_Sell-Price_Volume_Adjustment,Sell-Price_Price_Adjust,System_Total_Accepted_Bid_Volume,Total_System_Accepted_Offer_Volume,Total_System_Tagged_Accepted_Bid_Volume,Total_System_Tagged_Accepted_Offer_Volume,Total_System_Repriced_Accepted_Bid_Volume,Total_System_Repriced_Accepted_Offer_Volume,Total_System_Originally-priced_Accepted_Bid_Volume,Total_System_Originally-priced_Accepted_Offer_Volume,Total_System_Adjustment_Sell_Volume,Total_System_Adjustment_Buy_Volume,Total_System_Tagged_Adjustment_Sell_Volume,Total_System_Tagged_Adjustment_Buy_Volume,Total_System_Repriced_Adjustment_Sell_Volume,Total_System_Repriced_Adjustment_Buy_Volume,Total_System_Originally-priced_Adjustment_Sell_Volume,Total_System_Originally-priced_Adjustment_Buy_Volume,Replacement_Price,Replacement_Price_Calculation_Volume,Stor_Availability_Window_Flag,Loss_Of_Load_Probability,De-rated_Margin,Value_Of_Lost_Load,Reserve_Scarcity_Price,GBP-EUR_Exchange_Rate,Balancing_Energy_Deviation_Price,Total_System_RR_Cashflow,RR_Aggregated_Unpriced_System_Buy_Action_Volume,RR_Aggregated_Unpriced_System_Sell_Action_Volume,Period_RR_Accepted_Offer_Volume,Period_RR_Accepted_Bid_Volume,SortKey
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,1,59.84068,59.84068,P,-16561.345,16919.503,-10.155,0,0,,820.501,T,15,1,,,,0,,,,0,-623.001,1185.679,-623.001,1135.68,0,0,0,474.678,-197.5,109.5,-197.5,109.5,0,0,0,0,,,F,0,26169.162,3000,,,,,,,,,2017113001DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,2,60,60,P,-16767.915,17125.693,-11.277,0,0,,813.783,T,15,1,,,,0,,,,0,-616.283,1316.664,-616.283,1266.664,0,0,0,612.34,-197.5,109.5,-197.5,109.5,0,0,0,0,,,F,0,25992.043,3000,,,,,,,,,2017113002DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,3,58.04515,58.04515,P,-16618.609,16983.494,-76.743,0,0,,874.967,T,15,1,,,,0,,,,0,-677.467,1143.195,-677.467,1093.195,0,0,0,377.395,-197.5,109.5,-197.5,109.5,0,0,0,0,,,F,0,26449.895,3000,,,,,,,,,2017113003DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,4,56.4,56.4,P,-16238.985,16608.621,-60.037,0,0,,1009.737,T,15,1,,,,0,,,,0,-812.237,973.556,-812.237,923.556,0,0,0,72.221,-197.5,109.5,-197.5,109.5,0,0,0,0,,,F,0,27020.3,3000,,,,,,,,,2017113004DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,5,56.15023,56.15023,P,-15840.589,16199.878,3.227,0,0,,888.217,T,15,1,,,,0,,,,0,-665.85,806.433,-665.85,778.717,0,0,0,27.716,-222.5,109.5,-222.5,109.5,0,0,0,0,,,F,0,28097.766,3000,,,,,,,,,2017113005DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,6,57.7301,57.7301,P,-15773.746,16124.597,-26.146,0,0,,879.401,T,15,1,,,,0,,,,0,-656.901,888.77,-656.901,838.77,0,0,0,118.104,-222.5,109.5,-222.5,109.5,0,0,0,0,,,F,0,28342.383,3000,,,,,,,,,2017113006DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,7,57.73569,57.73569,P,-15806.403,16173.446,-21.736,0,0,,897.726,T,15,1,,,,0,,,,0,-675.225,848.142,-675.226,798.142,0,0,0,59.916,-222.5,119.5,-222.5,119.5,0,0,0,10,,,F,0,28369.291,3000,,,,,,,,,2017113007DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,8,41,41,N,-15707.644,16074.113,-28.996,0,0,,923.027,T,15,1,,,,0,,,,0,-840.42,803.527,-797.862,803.527,-25.369,0,-106.829,0,-222.5,119.5,-215.058,119.5,-7.695,0,0,0,41,1,F,0,27986.654,3000,,,,,,,,,2017113008DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,9,39.95,39.95,N,-15684.103,16054.318,-33.373,0,0,,847.801,T,15,1,,,,0,,,,0,-970.975,713.304,-930.77,713.304,-177.881,0,-121.217,0,-222.5,134.5,-212.706,134.5,-46.576,0,0,0,39.95,1,F,0,28215.094,3000,,,,,,,,,2017113009DF
S0142009,20200401,20171130,DF,7,19,20171130,19,49510,NGC,10,41,41,N,-15736.736,16113.689,13.062,0,0,,792.172,T,15,1,,,,0,,,,0,-992.033,658.422,-950.184,658.422,-286.098,0,-67.417,0,-222.5,134.5,-214.35,134.5,-68.847,0,0,0,41,1,F,0,27707.746,3000,,,,,,,,,2017113010DF
