"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"01.01.2017 00:00 - 01.01.2017 00:30","31853","33344"
"01.01.2017 00:30 - 01.01.2017 01:00","32166","33071"
"01.01.2017 01:00 - 01.01.2017 01:30","30964","32955"
"01.01.2017 01:30 - 01.01.2017 02:00","30880","32721"
"01.01.2017 02:00 - 01.01.2017 02:30","29989","32277"
"01.01.2017 02:30 - 01.01.2017 03:00","28542","30492"
"01.01.2017 03:00 - 01.01.2017 03:30","27566","28725"
"01.01.2017 03:30 - 01.01.2017 04:00","26798","28219"
"01.01.2017 04:00 - 01.01.2017 04:30","25729","26943"
"01.01.2017 04:30 - 01.01.2017 05:00","24745","25792"
"01.01.2017 05:00 - 01.01.2017 05:30","24189","24585"
"01.01.2017 05:30 - 01.01.2017 06:00","23942","24198"
"01.01.2017 06:00 - 01.01.2017 06:30","23759","23763"
"01.01.2017 06:30 - 01.01.2017 07:00","24019","23619"
"01.01.2017 07:00 - 01.01.2017 07:30","24576","23788"
"01.01.2017 07:30 - 01.01.2017 08:00","25093","24178"
"01.01.2017 08:00 - 01.01.2017 08:30","25321","24455"
"01.01.2017 08:30 - 01.01.2017 09:00","25546","25379"
"01.01.2017 09:00 - 01.01.2017 09:30","26444","26918"
"01.01.2017 09:30 - 01.01.2017 10:00","27860","27974"
"01.01.2017 10:00 - 01.01.2017 10:30","29575","30109"
"01.01.2017 10:30 - 01.01.2017 11:00","31451","31428"
"01.01.2017 11:00 - 01.01.2017 11:30","33146","34143"
"01.01.2017 11:30 - 01.01.2017 12:00","34532","35621"
"01.01.2017 12:00 - 01.01.2017 12:30","35759","37022"
"01.01.2017 12:30 - 01.01.2017 13:00","36790","37831"
"01.01.2017 13:00 - 01.01.2017 13:30","37476","38675"
"01.01.2017 13:30 - 01.01.2017 14:00","37823","38646"
"01.01.2017 14:00 - 01.01.2017 14:30","37923","39035"
"01.01.2017 14:30 - 01.01.2017 15:00","37977","38967"
"01.01.2017 15:00 - 01.01.2017 15:30","37866","39139"
"01.01.2017 15:30 - 01.01.2017 16:00","37814","39149"
"01.01.2017 16:00 - 01.01.2017 16:30","38012","39589"
"01.01.2017 16:30 - 01.01.2017 17:00","38879","40200"
"01.01.2017 17:00 - 01.01.2017 17:30","40229","41384"
"01.01.2017 17:30 - 01.01.2017 18:00","41077","42730"
"01.01.2017 18:00 - 01.01.2017 18:30","41136","43283"
"01.01.2017 18:30 - 01.01.2017 19:00","40570","43122"
"01.01.2017 19:00 - 01.01.2017 19:30","39787","42618"
"01.01.2017 19:30 - 01.01.2017 20:00","38854","41807"
"01.01.2017 20:00 - 01.01.2017 20:30","37962","39220"
"01.01.2017 20:30 - 01.01.2017 21:00","37134","37994"
"01.01.2017 21:00 - 01.01.2017 21:30","36042","38410"
"01.01.2017 21:30 - 01.01.2017 22:00","34743","37337"
"01.01.2017 22:00 - 01.01.2017 22:30","33517","35720"
"01.01.2017 22:30 - 01.01.2017 23:00","32355","34504"
"01.01.2017 23:00 - 01.01.2017 23:30","31440","32624"
"01.01.2017 23:30 - 02.01.2017 00:00","30108","31775"
"02.01.2017 00:00 - 02.01.2017 00:30","28548","29982"
"02.01.2017 00:30 - 02.01.2017 01:00","28426","28831"
"02.01.2017 01:00 - 02.01.2017 01:30","29385","28544"
"02.01.2017 01:30 - 02.01.2017 02:00","29288","29782"
"02.01.2017 02:00 - 02.01.2017 02:30","28426","29875"
"02.01.2017 02:30 - 02.01.2017 03:00","27431","28686"
"02.01.2017 03:00 - 02.01.2017 03:30","26730","27922"
"02.01.2017 03:30 - 02.01.2017 04:00","26121","27687"
"02.01.2017 04:00 - 02.01.2017 04:30","25315","26449"
"02.01.2017 04:30 - 02.01.2017 05:00","24657","25772"
"02.01.2017 05:00 - 02.01.2017 05:30","24353","25073"
"02.01.2017 05:30 - 02.01.2017 06:00","24321","25071"
"02.01.2017 06:00 - 02.01.2017 06:30","24490","25095"
"02.01.2017 06:30 - 02.01.2017 07:00","25228","25633"
"02.01.2017 07:00 - 02.01.2017 07:30","26212","27307"
"02.01.2017 07:30 - 02.01.2017 08:00","27306","28560"
"02.01.2017 08:00 - 02.01.2017 08:30","28351","29105"
"02.01.2017 08:30 - 02.01.2017 09:00","29471","29655"
"02.01.2017 09:00 - 02.01.2017 09:30","31019","30837"
"02.01.2017 09:30 - 02.01.2017 10:00","32805","32395"
"02.01.2017 10:00 - 02.01.2017 10:30","34689","34231"
"02.01.2017 10:30 - 02.01.2017 11:00","36151","35466"
"02.01.2017 11:00 - 02.01.2017 11:30","37509","36688"
"02.01.2017 11:30 - 02.01.2017 12:00","38572","37314"
"02.01.2017 12:00 - 02.01.2017 12:30","39283","37710"
"02.01.2017 12:30 - 02.01.2017 13:00","39985","37838"
"02.01.2017 13:00 - 02.01.2017 13:30","40228","38095"
"02.01.2017 13:30 - 02.01.2017 14:00","40217","38248"
"02.01.2017 14:00 - 02.01.2017 14:30","39873","38358"
"02.01.2017 14:30 - 02.01.2017 15:00","39532","38363"
"02.01.2017 15:00 - 02.01.2017 15:30","38963","38506"
"02.01.2017 15:30 - 02.01.2017 16:00","38753","38778"
"02.01.2017 16:00 - 02.01.2017 16:30","39125","39220"
"02.01.2017 16:30 - 02.01.2017 17:00","40372","40161"
"02.01.2017 17:00 - 02.01.2017 17:30","42666","42894"
"02.01.2017 17:30 - 02.01.2017 18:00","44714","45760"
"02.01.2017 18:00 - 02.01.2017 18:30","45935","48552"
"02.01.2017 18:30 - 02.01.2017 19:00","45979","48888"
"02.01.2017 19:00 - 02.01.2017 19:30","45289","48392"
"02.01.2017 19:30 - 02.01.2017 20:00","44257","47268"
"02.01.2017 20:00 - 02.01.2017 20:30","43000","45452"
"02.01.2017 20:30 - 02.01.2017 21:00","41791","44132"
"02.01.2017 21:00 - 02.01.2017 21:30","40527","43013"
"02.01.2017 21:30 - 02.01.2017 22:00","39180","41513"
"02.01.2017 22:00 - 02.01.2017 22:30","37754","39470"
"02.01.2017 22:30 - 02.01.2017 23:00","36213","37585"
"02.01.2017 23:00 - 02.01.2017 23:30","34928","35601"
"02.01.2017 23:30 - 03.01.2017 00:00","33391","33719"
"03.01.2017 00:00 - 03.01.2017 00:30","31764","32023"
"03.01.2017 00:30 - 03.01.2017 01:00","31296","30710"
"03.01.2017 01:00 - 03.01.2017 01:30","31190","30602"
"03.01.2017 01:30 - 03.01.2017 02:00","30922","30623"
"03.01.2017 02:00 - 03.01.2017 02:30","30584","30893"
"03.01.2017 02:30 - 03.01.2017 03:00","29982","29781"
"03.01.2017 03:00 - 03.01.2017 03:30","29738","29100"
"03.01.2017 03:30 - 03.01.2017 04:00","29379","28924"
"03.01.2017 04:00 - 03.01.2017 04:30","28623","27653"
"03.01.2017 04:30 - 03.01.2017 05:00","28029","27248"
"03.01.2017 05:00 - 03.01.2017 05:30","27793","25771"
"03.01.2017 05:30 - 03.01.2017 06:00","28017","25768"
"03.01.2017 06:00 - 03.01.2017 06:30","28649","26413"
"03.01.2017 06:30 - 03.01.2017 07:00","30796","28150"
"03.01.2017 07:00 - 03.01.2017 07:30","33974","32207"
"03.01.2017 07:30 - 03.01.2017 08:00","37300","35080"
"03.01.2017 08:00 - 03.01.2017 08:30","40012","38196"
"03.01.2017 08:30 - 03.01.2017 09:00","41525","40283"
"03.01.2017 09:00 - 03.01.2017 09:30","42251","42137"
"03.01.2017 09:30 - 03.01.2017 10:00","43027","43374"
"03.01.2017 10:00 - 03.01.2017 10:30","44061","44635"
"03.01.2017 10:30 - 03.01.2017 11:00","44672","44834"
"03.01.2017 11:00 - 03.01.2017 11:30","45140","44999"
"03.01.2017 11:30 - 03.01.2017 12:00","45414","45199"
"03.01.2017 12:00 - 03.01.2017 12:30","45691","45334"
"03.01.2017 12:30 - 03.01.2017 13:00","46196","45678"
"03.01.2017 13:00 - 03.01.2017 13:30","46356","46025"
"03.01.2017 13:30 - 03.01.2017 14:00","46302","46055"
"03.01.2017 14:00 - 03.01.2017 14:30","45893","46039"
"03.01.2017 14:30 - 03.01.2017 15:00","45803","46044"
"03.01.2017 15:00 - 03.01.2017 15:30","45931","46115"
"03.01.2017 15:30 - 03.01.2017 16:00","45924","46020"
"03.01.2017 16:00 - 03.01.2017 16:30","46402","46128"
"03.01.2017 16:30 - 03.01.2017 17:00","47778","46672"
"03.01.2017 17:00 - 03.01.2017 17:30","49697","49161"
"03.01.2017 17:30 - 03.01.2017 18:00","51012","50913"
"03.01.2017 18:00 - 03.01.2017 18:30","51278","51021"
"03.01.2017 18:30 - 03.01.2017 19:00","51281","50666"
"03.01.2017 19:00 - 03.01.2017 19:30","51093","49716"
"03.01.2017 19:30 - 03.01.2017 20:00","50137","49266"
"03.01.2017 20:00 - 03.01.2017 20:30","48649","48362"
"03.01.2017 20:30 - 03.01.2017 21:00","46982","47043"
"03.01.2017 21:00 - 03.01.2017 21:30","45209","45563"
"03.01.2017 21:30 - 03.01.2017 22:00","43313","43675"
"03.01.2017 22:00 - 03.01.2017 22:30","41110","41023"
"03.01.2017 22:30 - 03.01.2017 23:00","38767","38561"
"03.01.2017 23:00 - 03.01.2017 23:30","36623","36504"
"03.01.2017 23:30 - 04.01.2017 00:00","34284","34531"
"04.01.2017 00:00 - 04.01.2017 00:30","32103","32237"
"04.01.2017 00:30 - 04.01.2017 01:00","32013","30617"
"04.01.2017 01:00 - 04.01.2017 01:30","32213","30448"
"04.01.2017 01:30 - 04.01.2017 02:00","31908","29672"
"04.01.2017 02:00 - 04.01.2017 02:30","31239","29565"
"04.01.2017 02:30 - 04.01.2017 03:00","30455","28529"
"04.01.2017 03:00 - 04.01.2017 03:30","30099","26804"
"04.01.2017 03:30 - 04.01.2017 04:00","29552","26785"
"04.01.2017 04:00 - 04.01.2017 04:30","28459","25981"
"04.01.2017 04:30 - 04.01.2017 05:00","27465","25496"
"04.01.2017 05:00 - 04.01.2017 05:30","27156","25134"
"04.01.2017 05:30 - 04.01.2017 06:00","27551","25132"
"04.01.2017 06:00 - 04.01.2017 06:30","28337","26401"
"04.01.2017 06:30 - 04.01.2017 07:00","30555","27793"
"04.01.2017 07:00 - 04.01.2017 07:30","33876","32058"
"04.01.2017 07:30 - 04.01.2017 08:00","37735","35169"
"04.01.2017 08:00 - 04.01.2017 08:30","41149","39796"
"04.01.2017 08:30 - 04.01.2017 09:00","42878","42104"
"04.01.2017 09:00 - 04.01.2017 09:30","43330","43428"
"04.01.2017 09:30 - 04.01.2017 10:00","43738","44111"
"04.01.2017 10:00 - 04.01.2017 10:30","44505","45107"
"04.01.2017 10:30 - 04.01.2017 11:00","44736","45609"
"04.01.2017 11:00 - 04.01.2017 11:30","44879","45748"
"04.01.2017 11:30 - 04.01.2017 12:00","45157","45863"
"04.01.2017 12:00 - 04.01.2017 12:30","45397","45939"
"04.01.2017 12:30 - 04.01.2017 13:00","45658","45825"
"04.01.2017 13:00 - 04.01.2017 13:30","45797","45801"
"04.01.2017 13:30 - 04.01.2017 14:00","45902","45801"
"04.01.2017 14:00 - 04.01.2017 14:30","45921","45482"
"04.01.2017 14:30 - 04.01.2017 15:00","46109","45438"
"04.01.2017 15:00 - 04.01.2017 15:30","46141","45419"
"04.01.2017 15:30 - 04.01.2017 16:00","46199","45351"
"04.01.2017 16:00 - 04.01.2017 16:30","46877","45680"
"04.01.2017 16:30 - 04.01.2017 17:00","48658","46682"
"04.01.2017 17:00 - 04.01.2017 17:30","50638","49439"
"04.01.2017 17:30 - 04.01.2017 18:00","51460","51126"
"04.01.2017 18:00 - 04.01.2017 18:30","51445","51843"
"04.01.2017 18:30 - 04.01.2017 19:00","51126","51591"
"04.01.2017 19:00 - 04.01.2017 19:30","50923","51556"
"04.01.2017 19:30 - 04.01.2017 20:00","50414","51346"
"04.01.2017 20:00 - 04.01.2017 20:30","49299","50783"
"04.01.2017 20:30 - 04.01.2017 21:00","47833","49755"
"04.01.2017 21:00 - 04.01.2017 21:30","46029","46862"
"04.01.2017 21:30 - 04.01.2017 22:00","44093","44900"
"04.01.2017 22:00 - 04.01.2017 22:30","42005","42954"
"04.01.2017 22:30 - 04.01.2017 23:00","39771","40506"
"04.01.2017 23:00 - 04.01.2017 23:30","37661","38335"
"04.01.2017 23:30 - 05.01.2017 00:00","35298","35959"
"05.01.2017 00:00 - 05.01.2017 00:30","33129","33895"
"05.01.2017 00:30 - 05.01.2017 01:00","32500","32381"
"05.01.2017 01:00 - 05.01.2017 01:30","31689","32288"
"05.01.2017 01:30 - 05.01.2017 02:00","31555","32622"
"05.01.2017 02:00 - 05.01.2017 02:30","30914","32102"
"05.01.2017 02:30 - 05.01.2017 03:00","30146","31202"
"05.01.2017 03:00 - 05.01.2017 03:30","29740","30676"
"05.01.2017 03:30 - 05.01.2017 04:00","29673","30473"
"05.01.2017 04:00 - 05.01.2017 04:30","29352","30901"
"05.01.2017 04:30 - 05.01.2017 05:00","29040","30509"
"05.01.2017 05:00 - 05.01.2017 05:30","28970","29520"
"05.01.2017 05:30 - 05.01.2017 06:00","29031","29764"
"05.01.2017 06:00 - 05.01.2017 06:30","29589","29805"
"05.01.2017 06:30 - 05.01.2017 07:00","31887","31341"
"05.01.2017 07:00 - 05.01.2017 07:30","35560","35673"
"05.01.2017 07:30 - 05.01.2017 08:00","39743","39149"
"05.01.2017 08:00 - 05.01.2017 08:30","43343","42851"
"05.01.2017 08:30 - 05.01.2017 09:00","45179","45148"
"05.01.2017 09:00 - 05.01.2017 09:30","45665","46946"
"05.01.2017 09:30 - 05.01.2017 10:00","45944","47263"
"05.01.2017 10:00 - 05.01.2017 10:30","46761","47695"
"05.01.2017 10:30 - 05.01.2017 11:00","47359","48153"
"05.01.2017 11:00 - 05.01.2017 11:30","47481","47994"
"05.01.2017 11:30 - 05.01.2017 12:00","47456","47957"
"05.01.2017 12:00 - 05.01.2017 12:30","47771","47712"
"05.01.2017 12:30 - 05.01.2017 13:00","48220","47607"
"05.01.2017 13:00 - 05.01.2017 13:30","48277","47569"
"05.01.2017 13:30 - 05.01.2017 14:00","48207","47482"
"05.01.2017 14:00 - 05.01.2017 14:30","47799","47249"
"05.01.2017 14:30 - 05.01.2017 15:00","47488","47148"
"05.01.2017 15:00 - 05.01.2017 15:30","47148","46110"
"05.01.2017 15:30 - 05.01.2017 16:00","46756","46096"
"05.01.2017 16:00 - 05.01.2017 16:30","46922","46837"
"05.01.2017 16:30 - 05.01.2017 17:00","48276","47874"
"05.01.2017 17:00 - 05.01.2017 17:30","50813","51280"
"05.01.2017 17:30 - 05.01.2017 18:00","52682","53161"
"05.01.2017 18:00 - 05.01.2017 18:30","52961","53292"
"05.01.2017 18:30 - 05.01.2017 19:00","52683","53011"
"05.01.2017 19:00 - 05.01.2017 19:30","52249","52765"
"05.01.2017 19:30 - 05.01.2017 20:00","51450","52951"
"05.01.2017 20:00 - 05.01.2017 20:30","50235","52547"
"05.01.2017 20:30 - 05.01.2017 21:00","48722","51110"
"05.01.2017 21:00 - 05.01.2017 21:30","46933","48118"
"05.01.2017 21:30 - 05.01.2017 22:00","44955","45943"
"05.01.2017 22:00 - 05.01.2017 22:30","42757","44118"
"05.01.2017 22:30 - 05.01.2017 23:00","40099","41828"
"05.01.2017 23:00 - 05.01.2017 23:30","37676","39578"
"05.01.2017 23:30 - 06.01.2017 00:00","35396","37300"
"06.01.2017 00:00 - 06.01.2017 00:30","33620","35133"
"06.01.2017 00:30 - 06.01.2017 01:00","31615","33369"
"06.01.2017 01:00 - 06.01.2017 01:30","32515","33257"
"06.01.2017 01:30 - 06.01.2017 02:00","32422","32414"
"06.01.2017 02:00 - 06.01.2017 02:30","31747","32148"
"06.01.2017 02:30 - 06.01.2017 03:00","30989","31132"
"06.01.2017 03:00 - 06.01.2017 03:30","30660","30444"
"06.01.2017 03:30 - 06.01.2017 04:00","30566","30259"
"06.01.2017 04:00 - 06.01.2017 04:30","30256","29509"
"06.01.2017 04:30 - 06.01.2017 05:00","29823","28998"
"06.01.2017 05:00 - 06.01.2017 05:30","29645","28580"
"06.01.2017 05:30 - 06.01.2017 06:00","29902","28620"
"06.01.2017 06:00 - 06.01.2017 06:30","30585","29154"
"06.01.2017 06:30 - 06.01.2017 07:00","32628","30863"
"06.01.2017 07:00 - 06.01.2017 07:30","35840","35196"
"06.01.2017 07:30 - 06.01.2017 08:00","39818","38478"
"06.01.2017 08:00 - 06.01.2017 08:30","43324","41914"
"06.01.2017 08:30 - 06.01.2017 09:00","44732","44221"
"06.01.2017 09:00 - 06.01.2017 09:30","45108","45481"
"06.01.2017 09:30 - 06.01.2017 10:00","45897","45774"
"06.01.2017 10:00 - 06.01.2017 10:30","46692","46633"
"06.01.2017 10:30 - 06.01.2017 11:00","46904","47146"
"06.01.2017 11:00 - 06.01.2017 11:30","47540","47463"
"06.01.2017 11:30 - 06.01.2017 12:00","48063","47645"
"06.01.2017 12:00 - 06.01.2017 12:30","47909","48103"
"06.01.2017 12:30 - 06.01.2017 13:00","48037","48113"
"06.01.2017 13:00 - 06.01.2017 13:30","48164","47938"
"06.01.2017 13:30 - 06.01.2017 14:00","48034","47721"
"06.01.2017 14:00 - 06.01.2017 14:30","48008","47870"
"06.01.2017 14:30 - 06.01.2017 15:00","47982","47760"
"06.01.2017 15:00 - 06.01.2017 15:30","47604","47394"
"06.01.2017 15:30 - 06.01.2017 16:00","47101","47089"
"06.01.2017 16:00 - 06.01.2017 16:30","47122","47054"
"06.01.2017 16:30 - 06.01.2017 17:00","47996","47605"
"06.01.2017 17:00 - 06.01.2017 17:30","49559","49196"
"06.01.2017 17:30 - 06.01.2017 18:00","50508","50201"
"06.01.2017 18:00 - 06.01.2017 18:30","50331","50669"
"06.01.2017 18:30 - 06.01.2017 19:00","50023","50130"
"06.01.2017 19:00 - 06.01.2017 19:30","49722","49523"
"06.01.2017 19:30 - 06.01.2017 20:00","48806","49537"
"06.01.2017 20:00 - 06.01.2017 20:30","47306","48742"
"06.01.2017 20:30 - 06.01.2017 21:00","45681","47848"
"06.01.2017 21:00 - 06.01.2017 21:30","43875","46680"
"06.01.2017 21:30 - 06.01.2017 22:00","42000","44664"
"06.01.2017 22:00 - 06.01.2017 22:30","40017","42964"
"06.01.2017 22:30 - 06.01.2017 23:00","37968","41011"
"06.01.2017 23:00 - 06.01.2017 23:30","36224","39020"
"06.01.2017 23:30 - 07.01.2017 00:00","34370","37041"
"07.01.2017 00:00 - 07.01.2017 00:30","32729","35419"
"07.01.2017 00:30 - 07.01.2017 01:00","31046","33536"
"07.01.2017 01:00 - 07.01.2017 01:30","32094","31340"
"07.01.2017 01:30 - 07.01.2017 02:00","32155","30360"
"07.01.2017 02:00 - 07.01.2017 02:30","31337","30585"
"07.01.2017 02:30 - 07.01.2017 03:00","30507","30065"
"07.01.2017 03:00 - 07.01.2017 03:30","30068","29036"
"07.01.2017 03:30 - 07.01.2017 04:00","29530","28348"
"07.01.2017 04:00 - 07.01.2017 04:30","28689","28039"
"07.01.2017 04:30 - 07.01.2017 05:00","27969","27556"
"07.01.2017 05:00 - 07.01.2017 05:30","27479","26779"
"07.01.2017 05:30 - 07.01.2017 06:00","27208","27082"
"07.01.2017 06:00 - 07.01.2017 06:30","27189","26090"
"07.01.2017 06:30 - 07.01.2017 07:00","27994","26734"
"07.01.2017 07:00 - 07.01.2017 07:30","29268","28574"
"07.01.2017 07:30 - 07.01.2017 08:00","30700","30542"
"07.01.2017 08:00 - 07.01.2017 08:30","32143","32062"
"07.01.2017 08:30 - 07.01.2017 09:00","33754","33261"
"07.01.2017 09:00 - 07.01.2017 09:30","35917","35231"
"07.01.2017 09:30 - 07.01.2017 10:00","37665","37211"
"07.01.2017 10:00 - 07.01.2017 10:30","39007","38841"
"07.01.2017 10:30 - 07.01.2017 11:00","40014","39597"
"07.01.2017 11:00 - 07.01.2017 11:30","40585","40460"
"07.01.2017 11:30 - 07.01.2017 12:00","40860","40863"
"07.01.2017 12:00 - 07.01.2017 12:30","40997","41267"
