,Load,Transmission
2016-01-01 00:00:00,33474.0,1374.5
2016-01-01 00:30:00,34478.0,1374.5
2016-01-01 01:00:00,33948.0,1363.5
2016-01-01 01:30:00,32563.0,1363.5
2016-01-01 02:00:00,31436.0,1344.0
2016-01-01 02:30:00,30837.0,1344.0
2016-01-01 03:00:00,29332.0,1300.0
2016-01-01 03:30:00,27864.0,1300.0
2016-01-01 04:00:00,27308.0,1306.5
2016-01-01 04:30:00,26879.0,1306.5
2016-01-01 05:00:00,26884.0,1338.0
2016-01-01 05:30:00,26648.0,1338.0
2016-01-01 06:00:00,27479.0,1367.5
2016-01-01 06:30:00,28171.0,1367.5
2016-01-01 07:00:00,28354.0,678.5
2016-01-01 07:30:00,28703.0,678.5
2016-01-01 08:00:00,30271.0,1032.5
2016-01-01 08:30:00,31274.0,1032.5
2016-01-01 09:00:00,34069.0,1649.0
2016-01-01 09:30:00,35343.0,1649.0
2016-01-01 10:00:00,36813.0,1605.5
2016-01-01 10:30:00,37782.0,1605.5
2016-01-01 11:00:00,38740.0,1531.0
2016-01-01 11:30:00,39489.0,1531.0
2016-01-01 12:00:00,40280.0,1480.0
2016-01-01 12:30:00,40476.0,1480.0
2016-01-01 13:00:00,40386.0,1420.0
2016-01-01 13:30:00,40367.0,1420.0
2016-01-01 14:00:00,40498.0,1450.0
2016-01-01 14:30:00,40613.0,1450.0
2016-01-01 15:00:00,41007.0,1457.5
2016-01-01 15:30:00,41631.0,1457.5
2016-01-01 16:00:00,43316.0,1458.0
2016-01-01 16:30:00,44716.0,1458.0
2016-01-01 17:00:00,45127.0,1423.5
2016-01-01 17:30:00,44653.0,1423.5
2016-01-01 18:00:00,43697.0,1393.0
2016-01-01 18:30:00,42738.0,1393.0
2016-01-01 19:00:00,41808.0,1390.0
2016-01-01 19:30:00,40797.0,1390.0
2016-01-01 20:00:00,39936.0,1433.0
2016-01-01 20:30:00,38948.0,1433.0
2016-01-01 21:00:00,37941.0,1490.5
2016-01-01 21:30:00,37028.0,1490.5
2016-01-01 22:00:00,35452.0,1475.5
2016-01-01 22:30:00,34327.0,1475.5
2016-01-01 23:00:00,32131.0,1102.5
2016-01-01 23:30:00,30841.0,1102.5
2016-01-02 00:00:00,30778.0,1068.0
2016-01-02 00:30:00,30600.0,1068.0
2016-01-02 01:00:00,29384.0,1057.0
2016-01-02 01:30:00,28211.0,1057.0
2016-01-02 02:00:00,27159.0,1049.5
2016-01-02 02:30:00,26494.0,1049.5
2016-01-02 03:00:00,25486.0,1041.0
2016-01-02 03:30:00,24822.0,1041.0
2016-01-02 04:00:00,24482.0,1057.5
2016-01-02 04:30:00,24446.0,1057.5
2016-01-02 05:00:00,24634.0,1059.5
2016-01-02 05:30:00,25418.0,1059.5
2016-01-02 06:00:00,27608.0,1095.5
2016-01-02 06:30:00,29120.0,1095.5
2016-01-02 07:00:00,30254.0,1053.0
2016-01-02 07:30:00,31148.0,1053.0
2016-01-02 08:00:00,32661.0,1089.5
2016-01-02 08:30:00,34294.0,1089.5
2016-01-02 09:00:00,36928.0,1468.5
2016-01-02 09:30:00,38266.0,1468.5
2016-01-02 10:00:00,39386.0,1500.5
2016-01-02 10:30:00,40174.0,1500.5
2016-01-02 11:00:00,40731.0,1499.5
2016-01-02 11:30:00,41144.0,1499.5
2016-01-02 12:00:00,41599.0,1458.0
2016-01-02 12:30:00,41780.0,1458.0
2016-01-02 13:00:00,41751.0,1497.0
2016-01-02 13:30:00,41760.0,1497.0
2016-01-02 14:00:00,41763.0,1495.5
2016-01-02 14:30:00,41509.0,1495.5
2016-01-02 15:00:00,41735.0,1433.5
2016-01-02 15:30:00,42394.0,1433.5
2016-01-02 16:00:00,42389.0,1407.5
2016-01-02 16:30:00,46351.0,1407.5
2016-01-02 17:00:00,47628.0,1408.0
2016-01-02 17:30:00,47519.0,1408.0
2016-01-02 18:00:00,46845.0,1311.0
2016-01-02 18:30:00,45774.0,1311.0
2016-01-02 19:00:00,44605.0,1352.5
2016-01-02 19:30:00,43525.0,1352.5
2016-01-02 20:00:00,42496.0,1461.0
2016-01-02 20:30:00,40981.0,1461.0
2016-01-02 21:00:00,39764.0,1411.5
2016-01-02 21:30:00,38190.0,1411.5
2016-01-02 22:00:00,36898.0,1436.0
2016-01-02 22:30:00,35863.0,1436.0
2016-01-02 23:00:00,33662.0,1099.5
2016-01-02 23:30:00,32540.0,1099.5
2016-01-03 00:00:00,32540.0,1116.0
2016-01-03 00:30:00,31872.0,1116.0
2016-01-03 01:00:00,30825.0,1136.0
2016-01-03 01:30:00,29520.0,1136.0
2016-01-03 02:00:00,28129.0,1139.0
2016-01-03 02:30:00,27696.0,1139.0
2016-01-03 03:00:00,26939.0,1149.0
2016-01-03 03:30:00,26092.0,1149.0
2016-01-03 04:00:00,25729.0,1187.0
2016-01-03 04:30:00,25710.0,1187.0
2016-01-03 05:00:00,25800.0,1268.5
2016-01-03 05:30:00,26081.0,1268.5
2016-01-03 06:00:00,26771.0,1281.5
2016-01-03 06:30:00,27583.0,1281.5
2016-01-03 07:00:00,29198.0,1230.5
2016-01-03 07:30:00,30439.0,1230.5
2016-01-03 08:00:00,31621.0,1188.5
2016-01-03 08:30:00,33027.0,1188.5
2016-01-03 09:00:00,35748.0,1568.0
2016-01-03 09:30:00,37417.0,1568.0
2016-01-03 10:00:00,39364.0,1595.5
2016-01-03 10:30:00,40741.0,1595.5
